32	960	100	59.82
32	1920	100	493.59
32	3840	100	3389.76
32	5760	100	11746.18
32	7680	100	27709.57
32	9600	100	63325.73
32	11520	100	111877.47
64	960	100	35.91
64	1920	100	314.37
64	3840	100	2289.41
64	5760	100	7949.21
64	7680	100	18682.80
64	9600	100	35768.11
64	11520	100	62022.29
128	960	100	28.19
128	1920	100	221.79
128	3840	100	1703.80
128	5760	100	5988.92
128	7680	100	14366.83
128	9600	100	26908.92
128	11520	100	47747.91
256	960	100	28.00
256	1920	100	254.77
256	3840	100	1912.40
256	5760	100	5857.16
256	7680	100	14265.71
256	9600	100	27500.26
256	11520	100	47110.45
512	960	100	33.50
512	1920	100	234.36
512	3840	100	1942.61
512	5760	100	6086.93
512	7680	100	14814.98
512	9600	100	27928.29
512	11520	100	48122.75
1024	960	100	41.76
1024	1920	100	354.33
1024	3840	100	2692.28
1024	5760	100	8182.65
1024	7680	100	19920.33
1024	9600	100	38147.01
1024	11520	100	65476.58
