8	960	100	229.26	16
8	1920	100	1674.04	16
8	3840	100	17694.64	16
8	5760	100	57430.15	16
8	7680	100	120931.33	16
8	9600	100	213837.80	16
8	11520	100	399455.43	16
8	960	100	876.21	32
8	1920	100	3399.30	32
8	3840	100	17993.18	32
8	5760	100	54698.96	32
8	7680	100	127621.23	32
8	9600	100	242994.20	32
8	11520	100	416761.32	32
8	960	100	558.26	48
8	1920	100	2967.97	48
8	3840	100	15292.20	48
8	5760	100	46644.57	48
8	7680	100	112228.33	48
8	9600	100	211795.20	48
8	11520	100	370449.87	48
8	960	100	463.26	96
8	1920	100	1551.41	96
8	3840	100	9528.98	96
8	5760	100	31091.30	96
8	7680	100	70346.32	96
8	9600	100	175896.78	96
8	11520	100	321337.74	96
8	960	100	161.69	120
8	1920	100	1583.29	120
8	3840	100	9412.42	120
8	5760	100	31634.79	120
8	7680	100	76665.48	120
8	9600	100	138377.95	120
8	11520	100	243300.88	120
8	960	100	250.47	160
8	1920	100	1567.80	160
8	3840	100	8552.71	160
8	5760	100	29226.96	160
8	7680	100	64824.63	160
8	9600	100	130419.94	160
8	11520	100	217480.57	160
8	960	100	204.51	192
8	1920	100	1505.33	192
8	3840	100	8919.02	192
8	5760	100	27902.64	192
8	7680	100	63726.69	192
8	9600	100	127775.97	192
8	11520	100	224638.93	192
8	960	100	280.85	240
8	1920	100	1203.86	240
8	3840	100	9035.07	240
8	5760	100	32172.09	240
8	7680	100	84560.65	240
8	9600	100	155310.24	240
8	11520	100	303502.57	240
